Wall time,Step,Value
1638585346.4472735,173,5.65385627746582
1638585359.4799364,245,5.555989742279053
1638585399.602501,466,5.546048641204834
1638585416.0420015,557,5.407007694244385
1638585434.5174766,659,5.461128234863281
1638585460.7918174,805,5.541632175445557
1638585501.9395483,1027,5.369905948638916
1638585521.1171288,1133,5.52726411819458
1638585530.4780993,1185,5.524180889129639
1638585580.3800938,1459,5.313445091247559
1638585586.971604,1495,5.315504550933838
1638585589.8576615,1511,5.303030490875244
1638585596.7180948,1549,5.448039531707764
1638585599.8175504,1566,5.368046283721924
1638585668.911902,1941,5.36038064956665
1638585672.4798436,1961,5.3845086097717285
1638585772.2358065,2504,5.309786796569824
1638585785.6994784,2578,5.274150848388672
1638585806.587923,2694,5.485293865203857
1638585809.3265924,2709,5.325389862060547
1638585810.924101,2718,5.422047138214111
1638585876.790634,3084,5.2763800621032715
1638585905.2652237,3242,5.377715110778809
1638585909.5832355,3266,5.220767021179199
1638585963.9630065,3567,5.314202308654785
1638585970.0363986,3601,5.258255481719971
1638585980.9099798,3655,5.328131675720215
1638586047.5172522,4024,5.206358909606934
1638586064.4803443,4110,5.2437920570373535
1638586066.6125815,4122,5.12562370300293
1638586077.5663097,4182,5.278011798858643
1638586104.169053,4329,5.314723968505859
1638586146.9528213,4565,5.334858417510986
1638586195.1727095,4833,5.333036422729492
1638586243.882472,5091,5.470097541809082
1638586261.6020334,5188,5.101585388183594
1638586275.0808654,5263,5.050913333892822
1638586281.0686615,5296,5.304969310760498
1638586293.1398137,5363,5.331455230712891
1638586309.5948963,5455,5.221001148223877
1638586349.5074337,5668,5.321361541748047
1638586379.2149656,5833,5.282806873321533
1638586385.2709515,5867,5.349792957305908
1638586406.0515351,5982,5.143211841583252
1638586408.9082437,5998,5.175870418548584
1638586419.102255,6054,5.187161922454834
1638586434.4834714,6139,5.292291164398193
1638586450.2345402,6226,5.1882805824279785
1638586461.446632,6280,5.298508644104004
1638586471.4762034,6335,5.1732096672058105
1638586477.8532,6370,5.205859661102295
1638586514.0025253,6570,5.415205001831055
1638586542.978571,6731,4.834503650665283
1638586546.6555574,6751,5.340002536773682
1638586564.4964533,6851,5.304144382476807
1638586576.886135,6920,5.212475299835205
1638586589.9101963,6992,5.086955547332764
1638586637.2964132,7254,5.080475330352783
1638586670.421193,7437,4.6629638671875
1638586675.4945407,7465,5.128686904907227
1638586707.9495609,7645,5.400515556335449
1638586723.4354577,7731,5.323522090911865
1638586771.0553186,7987,5.319433689117432
1638586795.5530317,8123,5.360179901123047
1638586825.9755216,8292,5.230723857879639
1638586872.2696548,8549,5.186825275421143
1638586873.3334134,8555,5.227744102478027
1638586884.9142807,8619,5.1296000480651855
1638586892.228003,8660,5.148742198944092
1638586898.4862819,8695,4.435469627380371
1638586903.9062066,8725,5.0954790115356445
